Bill To,الطرف المستلم,
Invoice #,رقم الفاتورة,
VAT (+),ضريبة القيمة المضافة (+),
"Thank you, please visit again.","شكراً لك، زُرنا مجدداً.",
Receipt No,رقم الإيصال,
Cash,نقداً,
Simplified Tax Invoice,فاتورة ضريبية مبسّطة,
Invoice No.,رقم الفاتورة,
Store Name,اسم المتجر,
Store Address,عنوان المتجر,
Closing Invoice,إغلاق الفاتورة,
Cost,التكلفة,
Total Including VAT ({0}),المجموع شامل ضريبة القيمة المضافة ({0}),
SAR,ريال,
Tax Number,الرقم الضريبي,
VAT ({0}),ضريبة القيمة المضافة ({0}),
VAT ({0},ضريبة القيمة المضافة {0}),
Tax ID,الرقم الضريبي,
Payment Due,موعد السداد,
Invoice Items,تفاصيل الفاتورة,
ITEM DESCRIPTION,وصف البند,
QTY,الكمية,
PRICE PER UNIT,سعر الوحدة,
TOTAL PRICE,السعر الإجمالي
Invoice Totals,إجماليات الفاتورة,
VAT Registration Number:,الرقم الضريبي:,
Invoice Subtotal,إجمالي الفاتورة,
VAT (15.00%) of taxable items,ض. ق. م. (15%),
Total Due,الإجمالي المستحق,
VAT,ض. ق. م.,
Address Arabic,العنوان بالعربية,
VAT ID,الرقم الضريبي,
Terms and Conditions in Arabic,السياسات والشروط بالعربية,
